iter	Passed	Remaining
0	390	223004
1	790	225155
2	1153	218685
3	1526	216787
4	1913	216958
5	2308	217763
6	2712	218915
7	3093	218078
8	3476	217451
9	3886	218445
10	4307	219707
11	4690	218879
12	5088	218815
13	5481	218463
14	5867	217872
15	6257	217460
16	6660	217434
17	7043	216791
18	7438	216497
19	7827	216026
20	8223	215761
21	8626	215665
22	9007	215006
23	9421	215123
24	9813	214713
25	10219	214615
26	10620	214374
27	11014	213991
28	11430	214017
29	11831	213753
30	12228	213412
31	12618	212936
32	13021	212677
33	13403	212097
34	13791	211604
35	14210	211583
36	14593	211010
37	15004	210849
38	15405	210546
39	15793	210053
40	16195	209747
41	16588	209329
42	16991	209028
43	17359	208308
44	17753	207913
45	18135	207372
46	18546	207173
47	18960	206983
48	19381	206862
49	19765	206356
50	20154	205893
51	20548	205484
52	20944	205100
53	21330	204618
54	21759	204543
55	22139	203995
56	22521	203487
57	22923	203151
58	23296	202564
59	23706	202294
60	24107	201951
61	24486	201417
62	24871	200943
63	25266	200549
64	25649	200067
65	26010	199416
66	26403	199009
67	26813	198738
68	27224	198459
69	27606	197978
70	27996	197555
71	28378	197071
72	28764	196622
73	29151	196181
74	29540	195755
75	29937	195378
76	30334	195007
77	30720	194560
78	31097	194065
79	31481	193612
80	31883	193268
81	32259	192769
82	32657	192400
83	33042	191962
84	33451	191656
85	33855	191325
86	34248	190928
87	34634	190489
88	35033	190124
89	35433	189763
90	35835	189414
91	36231	189035
92	36624	188636
93	37010	188203
94	37414	187859
95	37804	187446
96	38196	187046
97	38580	186603
98	38973	186207
99	39385	185899
100	39790	185558
101	40232	185384
102	40803	185793
103	41293	185822
104	41697	185456
105	42116	185151
106	42558	184951
107	42970	184612
108	43404	184368
109	43794	183937
110	44208	183603
111	44613	183235
112	45035	182933
113	45430	182517
114	45857	182234
115	46252	181821
116	46654	181434
117	47043	180997
118	47432	180563
119	47852	180244
120	48227	179756
121	48628	179369
122	49031	178985
123	49415	178534
124	49826	178178
125	50244	177848
126	50650	177475
127	51054	177095
128	51462	176728
129	51858	176319
130	52255	175912
131	52673	175578
132	53073	175180
133	53461	174747
134	53867	174371
135	54271	173989
136	54673	173597
137	55074	173204
138	55452	172739
139	55884	172444
140	56285	172051
141	56676	171625
142	57127	171382
143	57561	171086
144	57970	170711
145	58368	170307
146	58764	169897
147	59172	169521
148	59583	169152
149	59970	168717
150	60360	168290
151	60744	167846
152	61148	167459
153	61551	167067
154	61938	166633
155	62327	166205
156	62714	165773
157	63093	165321
158	63477	164881
159	63867	164459
160	64260	164043
161	64667	163663
162	65065	163261
163	65451	162831
164	65846	162421
165	66234	161996
166	66614	161550
167	66997	161112
168	67381	160679
169	67763	160240
170	68135	159779
171	68525	159360
172	68908	158928
173	69313	158544
174	69702	158125
175	70084	157689
176	70479	157285
177	70884	156900
178	71255	156443
179	71643	156023
180	72027	155596
181	72401	155145
182	72786	154720
183	73170	154293
184	73562	153884
185	73968	153503
186	74339	153052
187	74742	152665
188	75125	152238
189	75528	151852
190	75908	151419
191	76309	151029
